time,fp,fpn,fpd,pcp,pcpn,pcpd,tp,tpn,tpd
0,383.689046450757,386.703137071039,385.211350256702,18.8575330642972,17.1217714520458,19.4853544393989,9.99999999991845,10.1612762465035,10.2138456368243
0.01,382.448987991003,383.521044966992,386.709377817985,17.7588602988061,16.2553492621208,17.1025448780521,9.99999862955321,10.5038100091668,10.5008582172073
0.02,381.655446171047,380.574534009024,383.284848469799,16.7339773701642,16.2461904461557,14.9267040325185,9.9999959420264,10.2230291691467,9.96559323605073
0.03,381.218890945264,382.138478742891,384.297597336313,15.7781744341187,15.6599751702328,16.408131483295,9.99999199000472,10.5269571780771,9.46273695319596
0.04,381.062458410165,382.068061619921,384.014571833112,14.8870216394207,14.9473342685652,12.898732088393,9.99998682541974,10.1232840824184,10.1156315656668
0.05,381.120278862497,377.852597378625,384.97044312358,14.0563548673136,13.2637808024007,14.8665271336926,9.99998049924979,9.95996140494994,10.1317913273093
0.06,381.336078789912,382.648202706752,383.642476803958,13.282261819574,11.6459683533132,13.3952178101357,9.99997306135155,9.83326217793892,9.87329603843887
0.07,381.661998915607,380.863420621275,385.786886234101,12.5610685315109,11.9198314993041,13.8216542292173,9.99996456033144,9.73947078809986,9.74608354986265
0.08,382.057585117355,383.30364648536,383.087005208157,11.8893263602614,10.5386672064397,14.5393530409872,9.99995504344942,9.96250822286042,9.93053367949617
0.09,382.488919305523,379.276709484129,384.561686557086,11.2637994798397,10.3073446796846,11.8302486267005,9.99994455654931,9.89789939440828,9.96466085823504
0.1,382.927864691234,382.385398699061,384.481425016847,10.6814529005671,9.27020302077495,10.4428631645855,9.99993314401064,9.61536578556041,10.1697800522945
0.11,383.351405257806,379.140376202312,385.997210200893,10.1394410203093,11.1882787245183,12.2758635798564,9.99992084871841,10.2433779800946,9.82205470434439
0.12,383.741063280896,385.014839138101,390.268111148423,9.63509670738493,8.86521413098178,9.86745300757196,9.99990771204735,10.0105539791436,10.1591141836607
0.13,384.082381831544,382.430377844733,383.761920706029,9.16592090941161,9.02359591645614,11.7668121399631,9.99989377385823,9.89350960922096,9.9878737690016
0.14,384.364461615432,381.673333559682,390.739331915291,8.72957277822856,8.46058333009141,10.5139436368414,9.99987907250402,9.95729685652678,10.1218504905747
0.15,384.579543438656,384.025823544167,385.126839050112,8.32386029801783,8.59359189943342,8.31478995134542,9.99986364484402,10.3761483766173,10.0334256811673
0.16,384.72262917488,383.990906890835,386.911590374944,7.94673140158854,8.43500927444346,7.48525489671065,9.99984752626467,10.1919575894578,10.2155711880951
0.17,384.791135431082,386.578591506112,386.575721289386,7.59626555828235,7.0013672025062,8.06702671087487,9.99983075070548,10.0207289100473,10.077493281413
0.18,384.78457523144,384.715655671509,387.650946558777,7.27066581596294,6.53142958387886,9.18239935836893,9.99981335068937,9.85505866745413,10.5874693602543
0.19,384.704264003539,383.196121745375,388.969098905423,6.96825127895023,5.79485249733959,6.33367780563586,9.99979535735618,9.47595708258131,9.66646131418192
0.2,384.553046985858,384.684561108231,388.259473382884,6.68745000346413,8.20985847092209,7.79020229282086,9.99977680049893,10.3249750944939,10.3287956489488
0.21,384.335045897741,386.587444070617,391.623364459852,6.4267922920857,6.28774706524276,5.32846960312849,9.99975770860193,9.57629326492846,9.73907342616336
0.22,384.055423332685,388.368954257287,389.284665461173,6.18490436886967,7.43409930918775,7.20156219266614,9.99973810888032,9.41677574568115,9.93730007662755
